model_id,model_name,split,k,evaluated_users,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,catalog_coverage_at_k,recommend_seconds_total,recommend_seconds_per_user,errors,n_components
A0,Bayesian popularity baseline,filtered_temporal,5,10069,0.0012513655775151457,0.006256827887575728,0.0034338350724763007,0.006256827887575728,0.0003105911585050212,35.14244699200003,0.003490162577415834,0,
A0,Bayesian popularity baseline,filtered_temporal,10,10069,0.0010030787565796007,0.010030787565796008,0.004617756398829589,0.010030787565796008,0.0006211823170100424,35.14244699200003,0.003490162577415834,0,
A2,TF-IDF item-to-item content,filtered_temporal,5,10069,0.00025821829377296657,0.0012910914688648327,0.0008482969088381993,0.0012910914688648327,0.3061911170928668,2876.1734224969996,0.28564638221243416,0,
A2,TF-IDF item-to-item content,filtered_temporal,10,10069,0.0002184924024232794,0.0021849240242327937,0.0011340457690435653,0.0021849240242327937,0.44851951547779273,2876.1734224969996,0.28564638221243416,0,
A3,User-profile TF-IDF content,filtered_temporal,5,10069,0.0002979441851226537,0.0014897209256132685,0.0009480217054460465,0.0014897209256132685,0.32285950926596957,582.66715939,0.05786743066739498,0,
A3,User-profile TF-IDF content,filtered_temporal,10,10069,0.0002681497666103883,0.002681497666103883,0.0013214342705866503,0.002681497666103883,0.45739724609172794,582.66715939,0.05786743066739498,0,
A4,Content plus popularity reranker,filtered_temporal,5,10069,0.0002979441851226537,0.0014897209256132685,0.0009523740493569462,0.0014897209256132685,0.3199865410497981,617.5334374129989,0.06133016559866907,0,
A4,Content plus popularity reranker,filtered_temporal,10,10069,0.0002681497666103883,0.002681497666103883,0.0013440074909058831,0.002681497666103883,0.45299720467957344,617.5334374129989,0.06133016559866907,0,
A5_64,SVD semantic content 64,filtered_temporal,5,10069,0.0001787665110735922,0.000893832555367961,0.0005174613790865337,0.000893832555367961,0.4237498705870173,129.49784657300006,0.012861043457443645,0,64.0
A5_64,SVD semantic content 64,filtered_temporal,10,10069,0.00014897209256132686,0.0014897209256132685,0.0006964848971732314,0.0014897209256132685,0.583005487110467,129.49784657300006,0.012861043457443645,0,64.0
A5_128,SVD semantic content 128,filtered_temporal,5,10069,0.000238355348098123,0.0011917767404906149,0.0006711958837923896,0.0011917767404906149,0.4393829588984367,157.28597025900126,0.015620813413348025,0,128.0
A5_128,SVD semantic content 128,filtered_temporal,10,10069,0.00020856092958585759,0.002085609295858576,0.0009561131818786609,0.002085609295858576,0.5950667770990786,157.28597025900126,0.015620813413348025,0,128.0
