phase,seconds,recipe_rows,train_rows,test_rows,recipes,users,errors,features,nnz,explained_variance
load primary data,13.479968520999932,230543.0,507043.0,10069.0,,,,,,
fit A0 bayesian popularity m=5,0.08205734800003484,,,,38636.0,,,,,
evaluate A0_m5,35.65607557299995,,,,,10069.0,0.0,,,
fit A0 bayesian popularity m=10,0.07988089100001616,,,,38636.0,,,,,
evaluate A0_m10,35.39679500600005,,,,,10069.0,0.0,,,
fit A0 bayesian popularity m=20,0.07857974099999865,,,,38636.0,,,,,
evaluate A0_m20,35.434782552,,,,,10069.0,0.0,,,
fit A0 bayesian popularity m=50,0.07905166599994118,,,,38636.0,,,,,
evaluate A0_m50,35.42730375299993,,,,,10069.0,0.0,,,
fit A0 bayesian popularity m=100,0.08198173699997824,,,,38636.0,,,,,
evaluate A0_m100,35.422644139,,,,,10069.0,0.0,,,
fit A0 bayesian popularity m=100,0.07687792799993076,,,,38636.0,,,,,
evaluate A0,35.392399778000026,,,,,10069.0,0.0,,,
"fit TF-IDF max_features=10000 min_df=2 ngram=(1, 1)",15.079235158000074,,,,,,,10000.0,9717576.0,
evaluate A3_tune1,375.80078560999993,,,,,10069.0,0.0,,,
"fit TF-IDF max_features=20000 min_df=2 ngram=(1, 1)",14.953993644000093,,,,,,,20000.0,9900663.0,
evaluate A3_tune2,368.2358322819998,,,,,10069.0,0.0,,,
"fit TF-IDF max_features=30000 min_df=2 ngram=(1, 1)",15.06913795499986,,,,,,,30000.0,9960488.0,
evaluate A3_tune3,401.1834146099998,,,,,10069.0,0.0,,,
"fit TF-IDF max_features=30000 min_df=3 ngram=(1, 2)",39.282876935999866,,,,,,,30000.0,16130798.0,
evaluate A3_tune4,600.4108842199998,,,,,10069.0,0.0,,,
evaluate A2,2876.4997546450004,,,,,10069.0,0.0,,,
evaluate A3,582.9624446279995,,,,,10069.0,0.0,,,
evaluate A4_tune1,631.0470463829997,,,,,10069.0,0.0,,,
evaluate A4_tune2,630.4605701870005,,,,,10069.0,0.0,,,
evaluate A4_tune3,608.2412865330007,,,,,10069.0,0.0,,,
evaluate A4,617.824210849999,,,,,10069.0,0.0,,,
fit A5 SVD n_components=64,8.968121955000242,,,,,,,,,0.1331101506948471
evaluate A5_64,129.83837119800046,,,,,10069.0,0.0,,,
fit A5 SVD n_components=128,18.025479829000687,,,,,,,,,0.1826203614473343
evaluate A5_128,157.61972500299999,,,,,10069.0,0.0,,,
