model_id,model_name,split,k,evaluated_users,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,catalog_coverage_at_k,recommend_seconds_total,recommend_seconds_per_user,errors,tuned_m,tuning_family,max_features,min_df,ngram_range,artifact_key,content_weight,popularity_weight,practical_weight,n_components
A0_m5,Bayesian popularity m=5,filtered_temporal,5,10069,0.00015890356539874863,0.0007945178269937431,0.0005592342589702511,0.0007945178269937431,0.0002329433688787659,35.40250253799991,0.0035159899233290206,0,5.0,popularity_m,,,,,,,,
A0_m5,Bayesian popularity m=5,filtered_temporal,10,10069,0.00014897209256132686,0.0014897209256132685,0.0007866390417833098,0.0014897209256132685,0.00044000414121544675,35.40250253799991,0.0035159899233290206,0,5.0,popularity_m,,,,,,,,
A0_m10,Bayesian popularity m=10,filtered_temporal,5,10069,0.0002979441851226537,0.0014897209256132685,0.0008568220876287728,0.0014897209256132685,0.00018117817579459572,35.14036653699998,0.003489955957592609,0,10.0,popularity_m,,,,,,,,
A0_m10,Bayesian popularity m=10,filtered_temporal,10,10069,0.0002780812394478101,0.002780812394478101,0.0012637055163079165,0.002780812394478101,0.00036235635158919145,35.14036653699998,0.003489955957592609,0,10.0,popularity_m,,,,,,,,
A0_m20,Bayesian popularity m=20,filtered_temporal,5,10069,0.00033767007647234087,0.0016883503823617043,0.001141122325352192,0.0016883503823617043,0.00020706077233668082,35.17641198199999,0.003493535801171913,0,20.0,popularity_m,,,,,,,,
A0_m20,Bayesian popularity m=20,filtered_temporal,10,10069,0.0002880127122852319,0.002880127122852319,0.001538936081215395,0.002880127122852319,0.0003882389481312765,35.17641198199999,0.003493535801171913,0,20.0,popularity_m,,,,,,,,
A0_m50,Bayesian popularity m=50,filtered_temporal,5,10069,0.0006554772072698381,0.0032773860363491908,0.0019059783704659303,0.0032773860363491908,0.00028470856196293615,35.16561974499996,0.0034924639730857044,0,50.0,popularity_m,,,,,,,,
A0_m50,Bayesian popularity m=50,filtered_temporal,10,10069,0.0008342437183434303,0.008342437183434304,0.0034706899327454454,0.008342437183434304,0.0004917693342996169,35.16561974499996,0.0034924639730857044,0,50.0,popularity_m,,,,,,,,
A0_m100,Bayesian popularity m=100,filtered_temporal,5,10069,0.0012513655775151457,0.006256827887575728,0.0034338350724763007,0.006256827887575728,0.0003105911585050212,35.17187106100005,0.0034930848208362345,0,100.0,popularity_m,,,,,,,,
A0_m100,Bayesian popularity m=100,filtered_temporal,10,10069,0.0010030787565796007,0.010030787565796008,0.004617756398829589,0.010030787565796008,0.0006211823170100424,35.17187106100005,0.0034930848208362345,0,100.0,popularity_m,,,,,,,,
A3_tune1,"User-profile content {'max_features': 10000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,5,10069,0.0002582182937729665,0.0012910914688648327,0.0007389752695002121,0.0012910914688648327,0.24609172792214515,375.75741203199993,0.03731824531055715,0,,tfidf_user_profile,10000,2,"(1, 1)",tfidf_1,,,,
A3_tune1,"User-profile content {'max_features': 10000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,10,10069,0.0002681497666103883,0.002681497666103883,0.0011905005079077926,0.002681497666103883,0.34597266797805154,375.75741203199993,0.03731824531055715,0,,tfidf_user_profile,10000,2,"(1, 1)",tfidf_1,,,,
A3_tune2,"User-profile content {'max_features': 20000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,5,10069,0.0002582182937729665,0.0012910914688648327,0.0007519785224122647,0.0012910914688648327,0.2361010456569003,368.19063674699987,0.03656675307845862,0,,tfidf_user_profile,20000,2,"(1, 1)",tfidf_2,,,,
A3_tune2,"User-profile content {'max_features': 20000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,10,10069,0.000238355348098123,0.0023835534809812297,0.0011247799917833885,0.0023835534809812297,0.3306501708251372,368.19063674699987,0.03656675307845862,0,,tfidf_user_profile,20000,2,"(1, 1)",tfidf_2,,,,
A3_tune3,"User-profile content {'max_features': 30000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,5,10069,0.0002780812394478101,0.0013904061972390505,0.0008034019567956194,0.0013904061972390505,0.2331245470545605,401.1365188729999,0.039838764412851314,0,,tfidf_user_profile,30000,2,"(1, 1)",tfidf_3,,,,
A3_tune3,"User-profile content {'max_features': 30000, 'min_df': 2, 'ngram_range': (1, 1)}",filtered_temporal,10,10069,0.00023835534809812294,0.0023835534809812297,0.0011401355982566198,0.0023835534809812297,0.32666425095765605,401.1365188729999,0.039838764412851314,0,,tfidf_user_profile,30000,2,"(1, 1)",tfidf_3,,,,
A3_tune4,"User-profile content {'max_features': 30000, 'min_df': 3, 'ngram_range': (1, 2)}",filtered_temporal,5,10069,0.0002979441851226537,0.0014897209256132685,0.0009480217054460465,0.0014897209256132685,0.32285950926596957,600.3627868650001,0.059624867103485954,0,,tfidf_user_profile,30000,3,"(1, 2)",tfidf_4,,,,
A3_tune4,"User-profile content {'max_features': 30000, 'min_df': 3, 'ngram_range': (1, 2)}",filtered_temporal,10,10069,0.0002681497666103883,0.002681497666103883,0.0013214342705866503,0.002681497666103883,0.45739724609172794,600.3627868650001,0.059624867103485954,0,,tfidf_user_profile,30000,3,"(1, 2)",tfidf_4,,,,
A4_tune1,"Content plus popularity reranker {'content_weight': 0.8, 'popularity_weight': 0.2, 'practical_weight': 0.0}",filtered_temporal,5,10069,0.00033767007647234087,0.0016883503823617043,0.00104475016010561,0.0016883503823617043,0.32298892224868,631.0045391679996,0.06266804441036841,0,,rerank_weights,,,,,0.8,0.2,0.0,
A4_tune1,"Content plus popularity reranker {'content_weight': 0.8, 'popularity_weight': 0.2, 'practical_weight': 0.0}",filtered_temporal,10,10069,0.00024828682093554476,0.0024828682093554475,0.0013047535440547256,0.0024828682093554475,0.45695724195051246,631.0045391679996,0.06266804441036841,0,,rerank_weights,,,,,0.8,0.2,0.0,
A4_tune2,"Content plus popularity reranker {'content_weight': 0.7, 'popularity_weight': 0.25, 'practical_weight': 0.05}",filtered_temporal,5,10069,0.0002979441851226537,0.0014897209256132685,0.0009523740493569462,0.0014897209256132685,0.3199865410497981,630.4175546120005,0.06260974819862951,0,,rerank_weights,,,,,0.7,0.25,0.05,
A4_tune2,"Content plus popularity reranker {'content_weight': 0.7, 'popularity_weight': 0.25, 'practical_weight': 0.05}",filtered_temporal,10,10069,0.0002681497666103883,0.002681497666103883,0.0013440074909058831,0.002681497666103883,0.45299720467957344,630.4175546120005,0.06260974819862951,0,,rerank_weights,,,,,0.7,0.25,0.05,
