user_id,model_id,user_history_items,recommended_items,relevant_test_items,explanation
1535,B4_svd64,153|834|1035|1267|1423|1438|2677|2707|2781|3014|3741|4460|4545|5046|5170|5247|5483|6848|8566|8782|8823|9518|9845|9849|10125|10465|11009|11177|11502|11538|12624|12662|13148|13214|13619|13716|13750|13800|13864|14111|14187|14208|14325|14406|14701|14835|15098|15364|15668|15740,32204|77397|95222|108522|26306|25723|76491|26257|28648|26773,218471,Top-N recommendation from selected collaborative model with train-history filtering.
1634,B4_svd64,3624|8877|9115|9400|11427|11530|11641|11649|11677|12713|16193|16512|19894|26212|28816|31754|33621|33962|34533|41599|44432|44459|46531|68581|104248|126618|132011,68955|26257|28148|16705|118761|71739|63860|83524|47195|18058,291770,Top-N recommendation from selected collaborative model with train-history filtering.
1891,B4_svd64,1293|2072|4627|7553|9272|10211|10318|12832|22782|31607|32804|33573|35587|38206|41541|41893|43842|57336|72654|75964|76453|83634|101041|111725|204187,69173|63689|32204|39087|10744|8701|31128|34382|27208|25885,31750,Top-N recommendation from selected collaborative model with train-history filtering.
2148,B4_svd64,2056|8380|26767|35483|38584|39612|44058|60559|134963,27208|32614|54257|32204|29679|28148|33671|25885|33919|76930,88333,Top-N recommendation from selected collaborative model with train-history filtering.
2310,B4_svd64,1133|3470|9954|10698|13126|13578|15175|16642|17572|19319|19356|19515|20746|21099|22089|22221|22375|22542|23225|23285|23779|24441|24444|24894|24978|26231|27535|27808|28165|31108|31632|31654|31669|32317|32422|32548|33770|34273|36172|36336|36807|37244|37782|39025|40752|41337|41611|42491|42759|42914,48760|68955|8739|87782|56103|25885|76930|83524|69173|66596,43114,Top-N recommendation from selected collaborative model with train-history filtering.
2695,B4_svd64,11574|12134|30018|37638|51235|51793|53767|55394|57033|63750|70224|81650|83287|86623|90822|95019|118475|170402|170937,27208|8739|66596|16213|33489|44888|32618|21761|35988|67256,213535,Top-N recommendation from selected collaborative model with train-history filtering.
2999,B4_svd64,3567|59853|82486|85043|102294|252517,32204|27208|43509|78579|135350|26110|10744|77397|42603|73062,43989,Top-N recommendation from selected collaborative model with train-history filtering.
3205,B4_svd64,860|13858|15606|17480|25246|31558|35805|38806|43360|51631|58961|64430|65340|70080|70485|70538|85001|91005|91054|110071|115676|127348|134795|141679|143230|240319|246980,32204|25885|87782|71373|43509|77397|47195|68955|108522|67256,240456,Top-N recommendation from selected collaborative model with train-history filtering.
3288,B4_svd64,4417|4423|4957|5483|8432|8486|9780|9836|11040|11107|12522|12684|12891|12920|13395|13625|13704|15658|16273|16531|16728|16902|17434|18036|19596|19724|20099|20283|20707|20756|20942|21761|21982|22552|22612|22991|23834|23939|24952|25885|27393|28520|28927|29493|29842|30118|30219|32614|33170|33573,27208|89204|33671|22782|43509|82102|108522|53914|28148|29679,339990,Top-N recommendation from selected collaborative model with train-history filtering.
4470,B4_svd64,167|278|324|719|834|897|1356|2056|2815|3351|3464|3472|3624|3805|4263|4314|4368|4546|4873|4981|5015|5234|5453|6814|6932|7098|7223|7748|8053|8106|8260|8374|8468|8506|8531|8554|8562|8592|8620|8626|8739|8802|8813|8814|8877|8892|8949|9050|9120|9254,32204|82102|54257|200296|43509|77397|150863|16884|63860|73033,170613,Top-N recommendation from selected collaborative model with train-history filtering.
